RECEIVER,SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
3bc2afc8-d924-472a-b617-8430d43f8aa3,3509,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.236663,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-53
fdf89eab-93b1-4655-882c-540ec651a1c8,2841,98:4F:EE:0D:11:4C,2020-06-23 13:05:19.335910,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3651,98:4F:EE:0D:04:A4,2020-06-23 13:05:19.338911,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5865,98:4F:EE:0D:11:4C,2020-06-23 13:05:19.341916,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-44
89b6d740-b228-47d7-af3d-19ba4e499957,3668,98:4F:EE:0D:04:8E,2020-06-23 13:05:19.345929,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-48
5e89115a-ea5b-4178-afbf-72413b17feb9,2941,98:4F:EE:0D:04:A4,2020-06-23 13:05:19.348930,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-44
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3746,98:4F:EE:0D:0E:38,2020-06-23 13:05:19.351925,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-53
3bc2afc8-d924-472a-b617-8430d43f8aa3,3510,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.353927,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-53
fdf89eab-93b1-4655-882c-540ec651a1c8,2842,98:4F:EE:0D:0F:34,2020-06-23 13:05:19.356928,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3652,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.358925,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5866,98:4F:EE:0D:0E:38,2020-06-23 13:05:19.361924,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-48
89b6d740-b228-47d7-af3d-19ba4e499957,3669,98:4F:EE:0D:11:53,2020-06-23 13:05:19.363914,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-48
5e89115a-ea5b-4178-afbf-72413b17feb9,2942,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.367928,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-45
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3747,98:4F:EE:0D:11:4C,2020-06-23 13:05:19.370934,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-55
3bc2afc8-d924-472a-b617-8430d43f8aa3,3511,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.374929,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-53
fdf89eab-93b1-4655-882c-540ec651a1c8,2843,98:4F:EE:0D:04:8E,2020-06-23 13:05:19.458854,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3653,98:4F:EE:0D:04:A4,2020-06-23 13:05:19.460845,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5867,98:4F:EE:0D:0E:38,2020-06-23 13:05:19.463863,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-46
89b6d740-b228-47d7-af3d-19ba4e499957,3670,98:4F:EE:0D:0E:38,2020-06-23 13:05:19.465859,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-47
5e89115a-ea5b-4178-afbf-72413b17feb9,2943,98:4F:EE:0D:11:53,2020-06-23 13:05:19.468868,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-53
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3748,98:4F:EE:0D:04:8E,2020-06-23 13:05:19.470859,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-47
3bc2afc8-d924-472a-b617-8430d43f8aa3,3512,98:4F:EE:0D:04:A4,2020-06-23 13:05:19.473862,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-48
fdf89eab-93b1-4655-882c-540ec651a1c8,2844,98:4F:EE:0D:04:A4,2020-06-23 13:05:19.519849,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-46
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3654,98:4F:EE:0D:11:53,2020-06-23 13:05:19.522849,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-52
d8020ffa-6fb9-4478-97ed-61537a947f58,5868,98:4F:EE:0D:04:8E,2020-06-23 13:05:19.524849,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-44
89b6d740-b228-47d7-af3d-19ba4e499957,3671,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.526852,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
5e89115a-ea5b-4178-afbf-72413b17feb9,2944,98:4F:EE:0D:04:A4,2020-06-23 13:05:19.528880,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-44
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3749,98:4F:EE:0D:0F:34,2020-06-23 13:05:19.531850,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-47
3bc2afc8-d924-472a-b617-8430d43f8aa3,3513,98:4F:EE:0D:0F:34,2020-06-23 13:05:19.533849,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-46
fdf89eab-93b1-4655-882c-540ec651a1c8,2845,98:4F:EE:0D:0F:34,2020-06-23 13:05:20.114695,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3655,98:4F:EE:0D:04:A4,2020-06-23 13:05:20.116679,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5869,98:4F:EE:0D:0E:C6,2020-06-23 13:05:20.119678,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-46
